work_id,author_id,position
W4312059150,A5044200395,first
W4312059150,A5045843249,middle
W4312059150,A5090363651,last
W4312105932,A5001270995,first
W4312105932,A5024802129,last
W4312105932,A5059279038,middle
W4312106224,A5008300007,last
W4312106224,A5038884691,first
W4312106224,A5081500824,middle
W4312106240,A5030241951,first
W4312106240,A5084270607,last
W4312106240,A5086326544,middle
W4312106240,A5086947282,middle
W4312106240,A5100638706,middle
W4312106240,A5101954867,middle
W4312106306,A5038448571,first
W4312106306,A5053773659,last
W4312106306,A5069331818,middle
W4312106615,A5007947570,middle
W4312106615,A5038687122,middle
W4312106615,A5053794277,middle
W4312106615,A5074090518,last
W4312106615,A5075203206,first
W4312106615,A5101549131,middle
W4312106726,A5017459474,last
W4312106726,A5029772821,middle
W4312106726,A5073637662,first
W4312106785,A5019847905,first
W4312106785,A5036839837,last
W4312106785,A5101544755,middle
W4312208348,A5078430868,first
W4312208408,A5002732326,first
W4312208408,A5039752849,middle
W4312208408,A5082236429,last
W4312214845,A5036010787,middle
W4312214845,A5039480864,last
W4312214845,A5046605531,middle
W4312214845,A5100623335,first
W4312214853,A5045156336,last
W4312214853,A5066303253,first
W4312222425,A5034420107,middle
W4312222425,A5058124369,last
W4312222425,A5059695393,first
W4312222425,A5100375792,middle
W4312222562,A5045137489,middle
W4312222562,A5056456094,first
W4312222562,A5071040306,middle
W4312222562,A5100781892,last
W4312222690,A5053091111,first
W4312222690,A5068620302,middle
W4312222690,A5082133960,middle
